PID,keywords,mods.grants,mods.abstract,fgs.state,dc.title,dc.language,mods.sm_key_words,fgs.lastModifiedDate,mods.sm_collection,mods.language,mods.title,mods.sm_report_number,dc.subject,mods.sm_corporate_creator,rdf.isOpenAccess,mods.origin,dc.description,mods.raw_date,mods.sm_format,mods.sm_oclc_number,rdf.redirectsTo,mods.sm_geographical_coverage,mods.subject_topic,fgs.createdDate,mods.sm_ntl_classification,mods.sm_resource_type,mods.sm_edition,mods.sm_corporate_publisher,DS1.mimetype_txt_en,DS1.label_txt_en,DS1.filesize_tl,DS1.checksum_txt_en,mods.ss_publishyear,fgs.ownerId,rdf.isMemberOf,dc.identifier,mods.sm_creator,fgs.label,rdf.isPeerTo,mods.sm_digital_object_identifier,mods.ss_jobid,DS2.mimetype_txt_en,DS2.label_txt_en,DS2.filesize_tl,DS2.checksum_txt_en,DS2.sourceurl,dc.publisher,dc.format,dc.type,dc.creator,dc.coverage,DS1.sourceurl,mods.orcidId,mods.sm_contributor,dc.contributor,mods.alt_title,mods.note,mods.sm_corporate_contributor,DS_EXCEL.mimetype_txt_en,DS_EXCEL.label_txt_en,DS_EXCEL.filesize_tl,DS_EXCEL.checksum_txt_en,mods.sm_contracting_officer,DS3.mimetype_txt_en,DS3.label_txt_en,DS3.filesize_tl,DS3.checksum_txt_en,DS3.sourceurl,DS4.mimetype_txt_en,DS4.label_txt_en,DS4.filesize_tl,DS4.checksum_txt_en,DS4.sourceurl,mods.sm_alternate_url,mods.table_of_contents,rdf.underCategory,rdf.hasOrder,rdf.isCollection,rdf.categoryOrder,rdf.isFeaturedCollection,mods.sm_rights_statement,mods.related_series,DS_MS_NON_EXCEL.mimetype_txt_en,DS_MS_NON_EXCEL.label_txt_en,DS_MS_NON_EXCEL.filesize_tl,DS_MS_NON_EXCEL.checksum_txt_en,mods.sm_tris_online_accession_number,rdf.hasExternalLink,rdf.hasMoreDocuments,DS5.mimetype_txt_en,DS5.label_txt_en,DS5.filesize_tl,DS5.checksum_txt_en,DS5.sourceurl,DS10.mimetype_txt_en,DS10.label_txt_en,DS10.filesize_tl,DS10.checksum_txt_en,DS10.sourceurl,DS11.mimetype_txt_en,DS11.label_txt_en,DS11.filesize_tl,DS11.checksum_txt_en,DS11.sourceurl,DS12.mimetype_txt_en,DS12.label_txt_en,DS12.filesize_tl,DS12.checksum_txt_en,DS12.sourceurl,DS13.mimetype_txt_en,DS13.label_txt_en,DS13.filesize_tl,DS13.checksum_txt_en,DS13.sourceurl,DS14.mimetype_txt_en,DS14.label_txt_en,DS14.filesize_tl,DS14.checksum_txt_en,DS14.sourceurl,DS15.mimetype_txt_en,DS15.label_txt_en,DS15.filesize_tl,DS15.checksum_txt_en,DS15.sourceurl,DS16.mimetype_txt_en,DS16.label_txt_en,DS16.filesize_tl,DS16.checksum_txt_en,DS16.sourceurl,DS17.mimetype_txt_en,DS17.label_txt_en,DS17.filesize_tl,DS17.checksum_txt_en,DS17.sourceurl,DS18.mimetype_txt_en,DS18.label_txt_en,DS18.filesize_tl,DS18.checksum_txt_en,DS18.sourceurl,DS6.mimetype_txt_en,DS6.label_txt_en,DS6.filesize_tl,DS6.checksum_txt_en,DS6.sourceurl,DS7.mimetype_txt_en,DS7.label_txt_en,DS7.filesize_tl,DS7.checksum_txt_en,DS7.sourceurl,DS8.mimetype_txt_en,DS8.label_txt_en,DS8.filesize_tl,DS8.checksum_txt_en,DS8.sourceurl,DS9.mimetype_txt_en,DS9.label_txt_en,DS9.filesize_tl,DS9.checksum_txt_en,DS9.sourceurl,DS_MS_NON_EXCEL.sourceurl,rdf.isSpotlightChild,rdf.isSupersededBy,mods.sm_isbn,mods.sm_issn,mods.physical_description,mods.sm_copyright_date,mods.sm_publisher,rdf.isGRFeaturedChild,rdf.isFeatured,rdf.featuredType,rdf.inSpotlight,rdf.featuredUrl,rdf.isGRFeatured,dc.rights,rdf.featuredPosition,rdf.featuredPositionTemp,DS19.mimetype_txt_en,DS19.label_txt_en,DS19.filesize_tl,DS19.checksum_txt_en,DS19.sourceurl,DS20.mimetype_txt_en,DS20.label_txt_en,DS20.filesize_tl,DS20.checksum_txt_en,DS20.sourceurl,DS21.mimetype_txt_en,DS21.label_txt_en,DS21.filesize_tl,DS21.checksum_txt_en,DS21.sourceurl,DS22.mimetype_txt_en,DS22.label_txt_en,DS22.filesize_tl,DS22.checksum_txt_en,DS22.sourceurl,DS23.mimetype_txt_en,DS23.label_txt_en,DS23.filesize_tl,DS23.checksum_txt_en,DS23.sourceurl,DS24.mimetype_txt_en,DS24.label_txt_en,DS24.filesize_tl,DS24.checksum_txt_en,DS24.sourceurl,DS25.mimetype_txt_en,DS25.label_txt_en,DS25.filesize_tl,DS25.checksum_txt_en,DS25.sourceurl,DS26.mimetype_txt_en,DS26.label_txt_en,DS26.filesize_tl,DS26.checksum_txt_en,DS26.sourceurl,DS27.mimetype_txt_en,DS27.label_txt_en,DS27.filesize_tl,DS27.checksum_txt_en,DS27.sourceurl,DS28.mimetype_txt_en,DS28.label_txt_en,DS28.filesize_tl,DS28.checksum_txt_en,DS28.sourceurl,DS29.mimetype_txt_en,DS29.label_txt_en,DS29.filesize_tl,DS29.checksum_txt_en,DS29.sourceurl,DS30.mimetype_txt_en,DS30.label_txt_en,DS30.filesize_tl,DS30.checksum_txt_en,DS30.sourceurl,DS31.mimetype_txt_en,DS31.label_txt_en,DS31.filesize_tl,DS31.checksum_txt_en,DS31.sourceurl,DS32.mimetype_txt_en,DS32.label_txt_en,DS32.filesize_tl,DS32.checksum_txt_en,DS32.sourceurl,DS33.mimetype_txt_en,DS33.label_txt_en,DS33.filesize_tl,DS33.checksum_txt_en,DS33.sourceurl,DS34.mimetype_txt_en,DS34.label_txt_en,DS34.filesize_tl,DS34.checksum_txt_en,DS34.sourceurl,rdf.quickLinkUrl,rdf.isQuickLink,rdf.underSection,DS_EXCEL.sourceurl,mods.embargo_date,rdf.hasDataset,rdf.hasPublication,mods.ss_keyvalue,mods.sm_researchhub_id,dc.date,dc.source,dc.identifier.uri,dc.contributor.author,dc.contributor.collaborator,dc.coverage.spatial,dc.contributor.creator,dc.relation.isPartOf,dc.description.abstract,dc.rights.accessRights,dc.relation.isVersionOf,dc.contributor.consultant,dc.description.tableOfContents,dc.title.alternative,DS1.checksumsha256_txt_en,rdf.hasMultipleLanguage,DS2.checksumsha256_txt_en,DS3.checksumsha256_txt_en,DS4.checksumsha256_txt_en,DS5.checksumsha256_txt_en,DS6.checksumsha256_txt_en,DS7.checksumsha256_txt_en,mods.ss_hasQLOrder,DS_MS_NON_EXCEL.checksumsha256_txt_en,dc.relation.isReferencedBy,DS10.checksumsha256_txt_en,DS11.checksumsha256_txt_en,DS12.checksumsha256_txt_en,DS13.checksumsha256_txt_en,DS14.checksumsha256_txt_en,DS15.checksumsha256_txt_en,DS16.checksumsha256_txt_en,DS17.checksumsha256_txt_en,DS18.checksumsha256_txt_en,DS8.checksumsha256_txt_en,DS9.checksumsha256_txt_en
dot:64057,,,This circular calls attention to the particular desirability of determining the stability characteristics of certain vessels which have capsized and provides for action which may be taken in such cases.,Active,"Stability Determination Capsizing Cases Involving Uninspected Vessels,Navigation and Vessel Inspection Circular No. 1-65",English,"Guidelines,Implementation,Water transportation,Performance,Ships,Stability (Mechanics),Marine safety,Inspection circulars",2022-11-15T16:45:19.735Z,US Coast Guard Circulars,English,Stability Determination Capsizing Cases Involving Uninspected Vessels,NVIC 10-65,,United States. Coast Guard,true,"1965-08-06; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526098,1965,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Water transportation,Performance,Ships,Stability (Mechanics),Marine safety,Inspection circulars,NVIC 10-65,This circular calls attention to the particular desirability of determining the stability characteristics of certain vessels which have capsized and provides for action which may be taken in such cases.,1435",1965-08-06,PDF,,,United States,,2022-09-13T17:12:40.743Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,n10-65.pdf,60318,urn:sha256:0a49ec25616e55920f042812f7e77ea09d7e570f8fa9dbcd51735ec4808331ec,1965,,dot:62791,,,,,https://doi.org/10.21949/1526098,1435,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/85000/85900/85954/n10-65.pdf,,,,Navigation and Vessel Inspection Circular No. 1-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:64017,,,Navigation and Vessel Inspection Circular No. 2-89: Guide for Electrical Installations on Merchant Vessels and Mobile Offshore Drilling Units.,Active,"Guide for Electrical Installations on Merchant Vessels and Mobile Offshore Drilling Units,Navigation and Vessel Inspection Circular No. 2-89",English,"Guidelines,Implementation,Inspection,Water transportation,Regulation,Merchant vessels,Inspection circulars",2022-09-13T17:11:46.479Z,US Coast Guard Circulars,English,Guide for Electrical Installations on Merchant Vessels and Mobile Offshore Drilling Units,NVIC 02-89,,United States. Coast Guard,true,"1989-08-14; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526139,1989,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Inspection,Water transportation,Regulation,Merchant vessels,Inspection circulars,NVIC 02-89,Navigation and Vessel Inspection Circular No. 2-89: Guide for Electrical Installations on Merchant Vessels and Mobile Offshore Drilling Units.,1404",1989-08-14,PDF,,,United States,,2022-09-13T17:11:45.219Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,n2-89.pdf,3979130,urn:sha256:2c76774dd6cb56f561ec62df488a3277c38ca876d1e0e392958a96c0a2b0b367,1989,,dot:62791,,,,,https://doi.org/10.21949/1526139,1404,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/87000/87300/87349/n2-89.pdf,,,,Navigation and Vessel Inspection Circular No. 2-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:64011,,,Navigation and Vessel Inspection Circular No. 4-82: Uninspected Commercial Vessel Safety.,Active,"Uninspected Commercial Vessel Safety,Navigation and Vessel Inspection Circular No. 4-82",English,"Guidelines,Implementation,Inspection,Water transportation,Regulation,Marine safety,Inspection circulars",2022-09-13T17:11:37.056Z,US Coast Guard Circulars,English,Uninspected Commercial Vessel Safety,NVIC 04-82,,United States. Coast Guard,true,"1982-03-01; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526145,1982,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Inspection,Water transportation,Regulation,Marine safety,Inspection circulars,NVIC 04-82,Navigation and Vessel Inspection Circular No. 4-82: Uninspected Commercial Vessel Safety.,1404",1982-03-01,PDF,,,United States,,2022-09-13T17:11:36.319Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,n4-82.pdf,316878,urn:sha256:4886207924245ebcda212f334d6cedb26613a4f97fe6673a5d3929a5fd2bc19b,1982,,dot:62791,,,,,https://doi.org/10.21949/1526145,1404,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/87000/87300/87355/n4-82.pdf,,,,Navigation and Vessel Inspection Circular No. 4-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:63948,,,Navigation and Vessel Inspection Circular No. 1-92 CHANGE 1: CH-1 - Implementation of Lifesaving Equipment Regulations for Commercial Fishing Vessels.,Active,"CH-1 - Implementation of Lifesaving Equipment Regulations for Commercial Fishing Vessels,Navigation and Vessel Inspection Circular No. 1-92 CHANGE 1",English,"Guidelines,Implementation,Inspection,Water transportation,Regulation,Fishing vessels,Inspection circulars",2022-09-13T17:10:06.848Z,US Coast Guard Circulars,English,CH-1 - Implementation of Lifesaving Equipment Regulations for Commercial Fishing Vessels,NVIC 01-92 ch1,,United States. Coast Guard,true,"1992-08-01; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526208,1992,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Inspection,Water transportation,Regulation,Fishing vessels,Inspection circulars,NVIC 01-92 ch1,Navigation and Vessel Inspection Circular No. 1-92 CHANGE 1: CH-1 - Implementation of Lifesaving Equipment Regulations for Commercial Fishing Vessels.,1404",1992-08-01,PDF,,,United States,,2022-09-13T17:10:06.102Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,n1-92ch1.pdf,172300,urn:sha256:58b4c33f5d1c60d46cbd9dd82b1792efd77411507089fdd59c5c4640dd17f2b1,1992,,dot:62791,,,,,https://doi.org/10.21949/1526208,1404,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/87000/87400/87418/n1-92ch1.pdf,,,,Navigation and Vessel Inspection Circular No. 1-92 CHANGE 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:63956,,,Navigation and Vessel Inspection Circular No. 16-82: Appeal of Coast Guard Commercial Vessel Decisions and Actions.,Active,"Appeal of Coast Guard Commercial Vessel Decisions and Actions,Navigation and Vessel Inspection Circular No. 16-82",English,"Guidelines,Implementation,Inspection,Water transportation,Regulation,Ships,Inspection circulars",2022-09-13T17:10:17.920Z,US Coast Guard Circulars,English,Appeal of Coast Guard Commercial Vessel Decisions and Actions,NVIC 16-82,,United States. Coast Guard,true,"1982-09-15; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526200,1982,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Inspection,Water transportation,Regulation,Ships,Inspection circulars,NVIC 16-82,Navigation and Vessel Inspection Circular No. 16-82: Appeal of Coast Guard Commercial Vessel Decisions and Actions.,1404",1982-09-15,PDF,,,United States,,2022-09-13T17:10:17.154Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,n16-82.pdf,162083,urn:sha256:e7039eeb65584230fb02719fcb4e7609e0d71c17ab491f93ef9ac3e3455f623b,1982,,dot:62791,,,,,https://doi.org/10.21949/1526200,1404,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/87000/87400/87410/n16-82.pdf,,,,Navigation and Vessel Inspection Circular No. 16-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:64021,,,Navigation and Vessel Inspection Circular No. 2-84: Amendments to the 1974 Safety of Life at Sea (SOLAS) Treaty.,Active,"Amendments to the 1974 Safety of Life at Sea (SOLAS) Treaty,Navigation and Vessel Inspection Circular No. 2-84",English,"Guidelines,Implementation,Inspection,Water transportation,Shipboard personnel,Regulation,Inspection circulars",2022-09-13T17:11:51.714Z,US Coast Guard Circulars,English,Amendments to the 1974 Safety of Life at Sea (SOLAS) Treaty,NVIC 02-84,,United States. Coast Guard,true,"1984-04-01; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526135,1984,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Inspection,Water transportation,Shipboard personnel,Regulation,Inspection circulars,NVIC 02-84,Navigation and Vessel Inspection Circular No. 2-84: Amendments to the 1974 Safety of Life at Sea (SOLAS) Treaty.,1404",1984-04-01,PDF,,,United States,,2022-09-13T17:11:50.934Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,n2-84.pdf,255634,urn:sha256:75018d7715b8a34bfd58a4d9953a67d58a6502a72b4ee5a9d1a8b1caae136685,1984,,dot:62791,,,,,https://doi.org/10.21949/1526135,1404,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/87000/87300/87345/n2-84.pdf,,,,Navigation and Vessel Inspection Circular No. 2-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:64066,,,The purpose of this instruction is to emphasize the importance of considering all possible effects on a vessel's safety when contemplating alteration of a ship's structure.,Active,"Alteration of Ship's Structure which may Affect the Adequacy of Installed Safety Devices,Navigation and Vessel Inspection Circular No. 3-67",English,"Guidelines,Implementation,Shipbuilding,Ships,Steel structures,Inspection circulars",2022-11-15T16:45:15.079Z,US Coast Guard Circulars,English,Alteration of Ship's Structure which may Affect the Adequacy of Installed Safety Devices,NVIC 03-67,,United States. Coast Guard,true,"1967-05-17; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526089,1967,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Shipbuilding,Ships,Steel structures,Inspection circulars,NVIC 03-67,The purpose of this instruction is to emphasize the importance of considering all possible effects on a vessel's safety when contemplating alteration of a ship's structure.,1435",1967-05-17,PDF,,,United States,,2022-09-13T17:12:53.045Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,Alteration_of_Ship_s_Structure_which_may_Affect_the_Adequacy_of_Installed_Safety_Devices_REM_rev.pdf,146867,urn:sha256:02faf84717f9e4498853df534e0e967b41d3e89f8cd853ba410ffc09149944d4,1967,,dot:62791,,,,,https://doi.org/10.21949/1526089,1435,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/85000/85900/85945/Alteration_of_Ship_s_Structure_which_may_Affect_the_Adequacy_of_Installed_Safety_Devices_REM_rev.pdf,,,,Navigation and Vessel Inspection Circular No. 3-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:63965,,,Navigation and Vessel Inspection Circular No. 11-85: Coast Guard Guidance Regarding Requirements for Automatic Radar Plotting Aid (ARPA) and Device to Indicate Speed and Distance (Speed Log).,Active,"Coast Guard Guidance Regarding Requirements for Automatic Radar Plotting Aid (ARPA) and Device to Indicate Speed and Distance (Speed Log),Navigation and Vessel Inspection Circular No. 11-85",English,"Guidelines,Implementation,Inspection,Water transportation,Regulation,Radar,Speed indicators,Inspection circulars",2022-09-13T17:10:30.310Z,US Coast Guard Circulars,English,Coast Guard Guidance Regarding Requirements for Automatic Radar Plotting Aid (ARPA) and Device to Indicate Speed and Distance (Speed Log),NVIC 11-85,,United States. Coast Guard,true,"1985-11-01; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526191,1985,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Inspection,Water transportation,Regulation,Radar,Speed indicators,Inspection circulars,NVIC 11-85,Navigation and Vessel Inspection Circular No. 11-85: Coast Guard Guidance Regarding Requirements for Automatic Radar Plotting Aid (ARPA) and Device to Indicate Speed and Distance (Speed Log).,1404",1985-11-01,PDF,,,United States,,2022-09-13T17:10:29.435Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,n11-85.pdf,891464,urn:sha256:ad57ba9007b32a7595859276e3bbf23a48d913f952e28dc66bf10d0c356fc992,1985,,dot:62791,,,,,https://doi.org/10.21949/1526191,1404,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/87000/87400/87401/n11-85.pdf,,,,Navigation and Vessel Inspection Circular No. 11-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:63983,,,Navigation and Vessel Inspection Circular No. 8-86: Coast Guard Relationships with Classification Societies for U.S. Flag Vessels.,Active,"Coast Guard Relationships with Classification Societies for U.S. Flag Vessels,Navigation and Vessel Inspection Circular No. 8-86",English,"Guidelines,Implementation,Inspection,Water transportation,Regulation,Inspection circulars",2022-09-13T17:10:55.939Z,US Coast Guard Circulars,English,Coast Guard Relationships with Classification Societies for U.S. Flag Vessels,NVIC 08-86,,United States. Coast Guard,true,"1986-06-01; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526173,1986,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Inspection,Water transportation,Regulation,Inspection circulars,NVIC 08-86,Navigation and Vessel Inspection Circular No. 8-86: Coast Guard Relationships with Classification Societies for U.S. Flag Vessels.,1404",1986-06-01,PDF,,,United States,,2022-09-13T17:10:55.161Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,n8-86.pdf,397545,urn:sha256:87ed7093c21548c988f091133adc65d18e32cbeaf561f79602e3698f91791218,1986,,dot:62791,,,,,https://doi.org/10.21949/1526173,1404,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/87000/87300/87383/n8-86.pdf,,,,Navigation and Vessel Inspection Circular No. 8-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:63849,,,Navigation and Vessel Inspection Circular No. 8-01: Approval of Navigation Equipment for Ships.,Active,"Approval of Navigation Equipment for Ships,Navigation and Vessel Inspection Circular No. 8-01",English,"Guidelines,Implementation,Inspection,Water transportation,Regulation,Navigation systems,Inspection circulars",2022-11-15T16:46:16.687Z,US Coast Guard Circulars,English,Approval of Navigation Equipment for Ships,NVIC 08-01,,United States. Coast Guard,true,"2001-09-26; \,","US Coast Guard Circulars,https://doi.org/10.21949/1526309,2001,PDF,Booklet/Pamphlet,United States. Coast Guard,United States. Coast Guard,United States,Guidelines,Implementation,Inspection,Water transportation,Regulation,Navigation systems,Inspection circulars,NVIC 08-01,Navigation and Vessel Inspection Circular No. 8-01: Approval of Navigation Equipment for Ships.,1435",2001-09-26,PDF,,,United States,,2022-09-13T17:07:31.994Z,,Booklet/Pamphlet,,United States. Coast Guard,application/pdf,NVIC+8-01.pdf,1197319,urn:sha256:bc1be582cbacebbd43f7e746df89a1eeb0b6d8f11142f313421d9ac1a6804c7d,2001,,dot:62791,,,,,https://doi.org/10.21949/1526309,1435,,,,,,,,,,,https://ntlrepository.blob.core.windows.net/lib/87000/87500/87519/NVIC+8-01.pdf,,,,Navigation and Vessel Inspection Circular No. 8-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
